name,number,team,Games played,time(min),2pt,2pt shot,2pt percentage,3pt,3pt shot,3pt percentage,free throw,free throw shot,free throw percentage,pt,offReb,defReb,tReb,assist,steal,block,turn over,foul
吳松蔚,30,福爾摩沙台新夢想家,7,2:41,0,0,0%,0.14,0.57,25%,0,0,0%,0.43,0,0.43,0.43,0,0,0,0,0
高國豪,4,新竹街口攻城獅,30,37:13,3.67,8.93,41.04%,1.83,5,36.67%,2.1,2.63,79.75%,14.93,0.9,3.33,4.23,4.33,1.6,0.07,2.1,2.47
李家瑞,12,新竹街口攻城獅,37,15:11,1.03,2.89,35.51%,0.78,2.51,31.18%,0.46,0.81,56.67%,4.86,0.51,2.32,2.84,1.05,0.38,0.27,1,1.54
成力煥,21,桃園璞園領航猿,34,14:57,0.97,2.12,45.83%,0.32,1.53,21.15%,0.38,0.62,61.9%,3.29,0.85,1.47,2.32,1.44,0.53,0.15,0.82,1.56
蕭順議,11,新竹街口攻城獅,30,25:53,3.27,6.33,51.58%,0.27,0.9,29.63%,1.8,2.87,62.79%,9.13,1.33,3.3,4.63,1.43,1.2,0.37,1.57,3.33
宋宇軒,5,新竹街口攻城獅,23,9:53,1.7,3.04,55.71%,0,0,0%,0.35,0.39,88.89%,3.74,0.48,0.61,1.09,0.74,0.13,0,0.39,0.83
林力仁,7,新北國王,20,5:38,0.15,0.85,17.65%,0.5,1.95,25.64%,0.2,0.7,28.57%,2,0.1,0.55,0.65,0.25,0.45,0,0.25,0.65
田浩,9,新竹街口攻城獅,28,24:19,1.5,3.14,47.73%,0.79,2.43,32.35%,0.71,0.96,74.07%,6.07,0.57,1.46,2.04,3.5,1.04,0.11,2.29,2.57
盧哲毅,15,高雄17直播鋼鐵人,5,5:59,0.4,0.6,66.67%,0,1,0%,0,0,0%,0.8,0.2,0.8,1,0.4,0.6,0,0.6,0.8
賴廷恩,0,臺北富邦勇士,38,14:16,0.79,1.92,41.1%,0.68,2.53,27.08%,0.34,0.42,81.25%,3.97,0.39,1.24,1.63,2.08,1.05,0.03,0.79,0.79
